,A#_diminished_4,A#_major_4,A#_minor_4,A_diminished_4,A_major_4,A_minor_4,B_diminished_4,B_major_4,B_minor_4,C#_diminished_4,C#_major_4,C#_minor_4,C_diminished_4,C_major_4,C_minor_4,D#_diminished_4,D#_major_4,D#_minor_4,D_diminished_4,D_major_4,D_minor_4,E_diminished_4,E_major_4,E_minor_4,F#_diminished_4,F#_major_4,F#_minor_4,F_diminished_4,F_major_4,F_minor_4,G#_diminished_4,G#_major_4,G#_minor_4,G_diminished_4,G_major_4,G_minor_4
A#_diminished_4,0,0,0,1,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A#_major_4,0,32,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A#_minor_4,0,2,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
A_diminished_4,0,0,0,30,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
A_major_4,0,0,0,3,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0
A_minor_4,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
B_diminished_4,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_major_4,0,0,2,0,0,0,0,22,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,6,2,0
B_minor_4,0,0,0,0,0,0,2,0,34,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#_diminished_4,0,0,0,0,0,0,0,0,0,33,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
